gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,reading_score,writing_score,math_score
female,group A,high school,free/reduced,completed,88,88,54
male,group A,some college,free/reduced,none,72,77,67
female,group B,some high school,free/reduced,completed,75,79,41
female,group E,master's degree,free/reduced,completed,78,79,79
male,group D,associate's degree,standard,none,63,62,36
female,group D,high school,free/reduced,completed,66,65,72
male,group B,high school,standard,none,56,49,42
male,group B,bachelor's degree,free/reduced,completed,62,56,55
male,group A,bachelor's degree,standard,none,82,82,70
male,group C,bachelor's degree,free/reduced,none,78,79,72
male,group B,some college,free/reduced,none,53,65,27
male,group C,associate's degree,free/reduced,none,55,58,38
male,group B,some college,free/reduced,completed,61,59,52
male,group E,associate's degree,standard,none,48,50,39
male,group E,high school,free/reduced,none,73,64,50
male,group A,some college,standard,none,60,60,49
male,group A,some college,standard,none,77,80,60
female,group C,some college,free/reduced,completed,85,88,91
female,group B,master's degree,free/reduced,none,44,43,48
male,group D,some high school,standard,completed,60,62,63
male,group A,associate's degree,standard,completed,46,44,54
male,group D,associate's degree,standard,none,42,43,38
male,group D,some college,standard,none,78,73,51
male,group B,master's degree,standard,none,73,67,53
male,group C,some college,free/reduced,none,61,67,54
male,group B,associate's degree,free/reduced,completed,55,54,45
male,group A,some high school,standard,completed,53,55,29
female,group D,some high school,free/reduced,none,72,68,59
male,group B,high school,standard,none,66,60,39
female,group B,master's degree,free/reduced,completed,56,53,63
male,group B,some high school,standard,completed,76,78,69
male,group A,master's degree,free/reduced,none,74,63,52
female,group C,some college,free/reduced,none,55,56,45
male,group B,high school,standard,none,62,65,68
female,group A,associate's degree,free/reduced,none,82,77,48
male,group D,some high school,standard,none,81,82,60
male,group E,some high school,standard,none,60,60,53
female,group A,bachelor's degree,free/reduced,completed,94,89,52
male,group E,associate's degree,standard,completed,67,66,51
female,group B,some high school,free/reduced,completed,81,80,59
male,group B,some high school,free/reduced,completed,54,49,65
female,group A,associate's degree,standard,none,67,65,51
female,group E,high school,free/reduced,none,56,55,34
male,group B,master's degree,standard,completed,45,46,27
male,group D,associate's degree,standard,none,69,78,31
female,group C,master's degree,free/reduced,none,65,60,66
male,group C,high school,standard,none,86,92,72
male,group B,high school,free/reduced,completed,61,56,45
male,group E,some college,free/reduced,completed,74,73,68
female,group B,bachelor's degree,standard,completed,63,67,57
female,group E,high school,free/reduced,completed,55,57,44
female,group D,high school,standard,completed,82,70,50
female,group E,master's degree,standard,completed,60,65,44
female,group B,high school,standard,completed,63,64,52
female,group D,associate's degree,standard,none,52,49,47
female,group A,some college,free/reduced,completed,44,43,21
female,group C,some college,standard,none,76,78,60
female,group B,associate's degree,standard,none,68,70,68
male,group B,some high school,standard,completed,83,85,54
female,group B,high school,free/reduced,none,77,73,67
male,group D,bachelor's degree,free/reduced,none,51,50,27
male,group A,high school,standard,completed,70,65,48
male,group E,some college,free/reduced,none,69,72,36
female,group A,bachelor's degree,free/reduced,completed,85,83,70
female,group D,some high school,standard,none,88,90,63
female,group B,master's degree,standard,none,44,41,14
female,group C,master's degree,free/reduced,none,86,86,70
male,group B,high school,free/reduced,none,84,83,77
female,group E,high school,free/reduced,completed,57,50,46
female,group C,bachelor's degree,standard,completed,69,74,60
female,group B,bachelor's degree,free/reduced,completed,38,41,39
female,group C,some high school,free/reduced,none,69,62,45
female,group A,high school,free/reduced,none,54,49,42
male,group D,some college,free/reduced,none,77,74,82
female,group B,master's degree,standard,none,76,82,64
male,group E,some high school,standard,completed,68,72,47
female,group A,bachelor's degree,standard,none,72,73,61
male,group B,some college,free/reduced,completed,58,50,39
female,group A,high school,standard,none,53,55,42
female,group E,associate's degree,free/reduced,none,100,100,87
male,group B,bachelor's degree,free/reduced,completed,85,83,61
male,group E,some high school,standard,completed,71,77,30
male,group C,associate's degree,free/reduced,completed,66,65,50
female,group E,some college,free/reduced,completed,100,100,84
male,group C,master's degree,free/reduced,none,95,93,92
female,group B,some college,standard,completed,65,60,60
female,group C,master's degree,standard,completed,55,48,37
male,group B,some college,standard,none,70,69,60
male,group B,bachelor's degree,standard,none,64,64,48
female,group D,bachelor's degree,standard,none,55,50,50
female,group B,some high school,standard,none,90,85,68
male,group C,associate's degree,standard,completed,77,82,71
male,group D,some college,standard,completed,63,66,68
male,group D,some college,standard,none,63,72,79
female,group B,associate's degree,standard,completed,70,61,37
female,group E,high school,free/reduced,completed,62,70,34
female,group E,some high school,standard,none,61,57,37
female,group D,some college,free/reduced,completed,100,93,76
female,group B,some high school,free/reduced,completed,56,57,39
female,group E,some college,standard,none,36,26,37
male,group B,some college,standard,completed,79,84,57
female,group B,high school,free/reduced,completed,86,86,57
female,group D,bachelor's degree,standard,none,72,68,69
female,group D,some high school,standard,completed,45,50,43
male,group A,associate's degree,free/reduced,none,67,66,56
female,group E,some high school,standard,none,62,62,38
female,group E,high school,standard,none,90,93,83
male,group E,master's degree,free/reduced,none,57,53,41
female,group C,master's degree,free/reduced,none,73,67,57
female,group B,high school,free/reduced,none,78,77,65
female,group D,high school,standard,completed,57,50,56
female,group E,bachelor's degree,free/reduced,none,61,58,52
female,group A,some high school,standard,completed,76,70,51
male,group E,some high school,standard,none,21,19,15
male,group B,master's degree,standard,none,90,85,76
male,group B,associate's degree,free/reduced,none,54,52,59
female,group D,some high school,standard,completed,70,75,53
female,group C,some college,standard,completed,49,45,32
female,group D,some college,free/reduced,none,89,90,79
male,group E,bachelor's degree,free/reduced,completed,70,60,43
female,group A,bachelor's degree,standard,none,73,71,51
female,group D,master's degree,free/reduced,none,78,73,60
male,group C,associate's degree,standard,completed,86,86,73
female,group D,associate's degree,standard,none,53,50,51
male,group B,high school,standard,none,65,69,55
male,group E,bachelor's degree,free/reduced,completed,88,86,70
male,group E,some high school,free/reduced,none,63,68,58
female,group E,some college,standard,none,90,79,52
female,group E,some high school,standard,completed,73,73,59
female,group E,some college,standard,completed,63,63,66
female,group E,master's degree,standard,none,80,75,69
female,group A,some college,free/reduced,none,67,67,53
female,group C,some high school,free/reduced,completed,82,84,73
female,group E,some high school,free/reduced,completed,62,67,39
male,group C,associate's degree,free/reduced,none,82,80,69
female,group E,associate's degree,free/reduced,completed,76,73,59
male,group D,bachelor's degree,standard,completed,64,60,50
female,group E,some high school,free/reduced,completed,42,42,29
female,group B,master's degree,standard,none,77,72,73
female,group A,some college,standard,none,86,89,65
male,group D,bachelor's degree,free/reduced,none,72,63,43
male,group D,high school,free/reduced,none,36,35,13
male,group B,high school,standard,none,87,80,45
male,group E,some college,standard,completed,75,74,61
female,group A,some college,standard,completed,79,83,56
male,group D,some college,free/reduced,completed,68,68,41
female,group A,associate's degree,free/reduced,none,41,37,28
female,group D,some college,free/reduced,none,78,81,70
male,group E,high school,free/reduced,completed,66,52,46
male,group D,some college,standard,completed,59,58,48
male,group D,some high school,free/reduced,completed,96,91,86
male,group C,master's degree,standard,completed,78,80,71
male,group E,high school,free/reduced,none,73,60,54
male,group B,master's degree,free/reduced,none,57,54,34
male,group B,high school,free/reduced,completed,55,51,36
male,group E,bachelor's degree,standard,none,77,81,63
female,group B,some high school,standard,none,40,36,37
male,group E,high school,free/reduced,none,78,76,65
male,group B,some high school,standard,none,79,79,57
female,group C,high school,standard,completed,90,89,75
male,group B,master's degree,free/reduced,completed,84,83,83
female,group D,master's degree,free/reduced,none,87,87,72
female,group E,high school,standard,completed,61,60,54
male,group A,high school,free/reduced,none,48,59,39
female,group A,associate's degree,standard,completed,72,63,52
female,group E,some high school,standard,completed,76,72,42
female,group C,some high school,free/reduced,completed,85,84,68
female,group B,some high school,standard,completed,92,97,48
male,group C,some high school,free/reduced,completed,52,56,27
female,group A,bachelor's degree,standard,completed,82,87,70
male,group E,bachelor's degree,standard,completed,36,35,18
female,group E,some college,standard,none,74,80,41
female,group C,high school,standard,completed,80,77,63
female,group C,high school,standard,none,47,51,23
female,group B,high school,standard,completed,79,79,73
male,group D,high school,free/reduced,completed,54,55,48
male,group D,some high school,standard,completed,64,57,66
female,group B,some high school,standard,none,82,73,65
female,group D,bachelor's degree,standard,none,65,63,70
male,group A,master's degree,free/reduced,none,65,64,41
female,group D,associate's degree,standard,none,74,68,50
female,group B,some high school,standard,none,81,85,69
female,group D,some high school,standard,completed,69,64,51
male,group E,some high school,free/reduced,none,93,95,76
male,group C,master's degree,free/reduced,none,64,62,50
male,group A,master's degree,free/reduced,none,88,91,69
female,group E,bachelor's degree,standard,completed,77,71,49
female,group E,some high school,standard,completed,80,71,53
male,group B,associate's degree,standard,completed,52,54,33
male,group C,high school,free/reduced,none,88,92,62
male,group C,some high school,standard,completed,71,72,57
male,group A,bachelor's degree,free/reduced,none,100,99,72
female,group B,bachelor's degree,free/reduced,completed,73,76,54
male,group A,associate's degree,standard,completed,69,71,70
female,group D,some college,standard,completed,62,56,51
male,group E,bachelor's degree,free/reduced,completed,70,72,64
female,group A,master's degree,standard,completed,91,91,84
male,group E,master's degree,free/reduced,none,81,81,81
male,group B,high school,free/reduced,none,74,67,56
male,group D,bachelor's degree,standard,completed,82,86,69
male,group B,high school,standard,none,63,60,44
female,group D,bachelor's degree,standard,completed,62,58,39
male,group D,associate's degree,standard,completed,60,62,33
female,group E,some high school,standard,completed,84,82,56
female,group B,bachelor's degree,standard,completed,86,78,60
female,group B,some college,standard,completed,58,65,51
female,group A,master's degree,free/reduced,completed,59,60,36
male,group B,associate's degree,standard,completed,67,66,43
female,group A,some high school,standard,none,54,53,21
female,group C,some high school,standard,none,73,73,51
female,group C,master's degree,standard,completed,91,91,73
male,group C,some high school,free/reduced,none,75,80,62
male,group B,high school,standard,completed,85,92,67
male,group B,associate's degree,free/reduced,none,50,48,36
male,group A,some college,free/reduced,none,62,65,50
female,group D,master's degree,free/reduced,completed,41,44,46
female,group A,bachelor's degree,free/reduced,completed,69,72,52
male,group C,bachelor's degree,free/reduced,none,100,100,78
female,group A,bachelor's degree,standard,completed,96,100,65
female,group D,associate's degree,free/reduced,none,75,77,65
female,group B,some college,free/reduced,completed,71,67,54
male,group A,some high school,standard,none,77,78,56
male,group C,some college,free/reduced,none,52,46,27
female,group C,some college,standard,none,73,75,62
male,group B,master's degree,standard,completed,37,38,19
male,group A,associate's degree,standard,none,31,23,26
male,group D,bachelor's degree,standard,completed,64,61,67
male,group B,master's degree,free/reduced,completed,100,100,91
male,group A,some high school,free/reduced,completed,94,97,76
female,group E,some college,free/reduced,completed,87,85,75
male,group C,bachelor's degree,standard,completed,70,62,45
female,group D,associate's degree,standard,none,93,95,62
female,group D,high school,standard,completed,62,63,51
male,group D,some college,free/reduced,completed,52,52,35
female,group C,some college,standard,none,61,55,32
female,group A,some college,free/reduced,none,45,47,19
female,group B,some college,free/reduced,completed,100,100,77
male,group A,bachelor's degree,standard,completed,78,77,71
male,group B,associate's degree,standard,completed,56,49,40
female,group D,master's degree,standard,none,68,61,49
male,group A,bachelor's degree,standard,completed,68,88,61
male,group D,associate's degree,standard,completed,91,85,60
male,group E,master's degree,free/reduced,none,100,92,72
male,group D,some college,free/reduced,none,86,84,80
female,group D,associate's degree,standard,none,81,80,79
female,group B,some college,standard,completed,74,69,67
male,group E,associate's degree,standard,completed,71,66,62
male,group D,some high school,free/reduced,completed,71,70,71
female,group D,high school,free/reduced,none,71,72,46
female,group E,some college,free/reduced,none,67,59,77
male,group E,some college,free/reduced,completed,63,61,29
female,group A,some college,standard,none,54,53,39
male,group B,some high school,free/reduced,none,66,64,17
male,group E,bachelor's degree,free/reduced,none,50,46,45
female,group E,master's degree,standard,none,61,55,34
female,group C,some college,standard,completed,68,76,47
male,group E,some college,free/reduced,completed,73,61,67
male,group B,bachelor's degree,standard,none,73,78,57
female,group D,bachelor's degree,standard,none,77,71,65
male,group D,high school,standard,none,76,77,56
female,group D,associate's degree,free/reduced,none,96,96,67
male,group D,some college,free/reduced,none,94,88,81
female,group C,associate's degree,standard,completed,64,63,52
female,group E,bachelor's degree,standard,none,83,81,67
female,group D,bachelor's degree,free/reduced,completed,67,67,47
male,group A,high school,free/reduced,completed,44,50,35
male,group D,master's degree,standard,none,79,86,60
female,group E,some high school,standard,completed,62,58,55
male,group D,some high school,free/reduced,none,59,60,47
female,group C,some high school,standard,none,61,66,57
female,group B,bachelor's degree,free/reduced,none,58,55,42
male,group B,some college,standard,completed,97,99,96
male,group E,high school,free/reduced,completed,51,62,44
female,group B,master's degree,standard,completed,67,61,54
male,group B,some high school,free/reduced,none,44,46,41
male,group A,high school,standard,completed,59,53,36
female,group E,bachelor's degree,standard,completed,50,46,34
female,group E,some high school,standard,completed,77,74,66
male,group B,master's degree,standard,none,47,49,23
female,group B,associate's degree,free/reduced,completed,91,100,80
female,group B,master's degree,standard,none,50,47,24
male,group C,some college,free/reduced,completed,54,59,30
female,group D,some high school,free/reduced,completed,80,75,50
female,group C,some high school,standard,completed,98,95,81
male,group E,associate's degree,free/reduced,none,63,69,79
male,group A,associate's degree,standard,none,78,82,51
female,group D,some high school,free/reduced,completed,54,51,42
female,group A,some college,standard,completed,62,58,57
male,group E,associate's degree,standard,none,68,70,60
male,group E,bachelor's degree,free/reduced,none,57,53,37
male,group A,some high school,free/reduced,completed,87,84,75
male,group A,master's degree,standard,completed,82,79,59
female,group A,master's degree,free/reduced,none,62,61,47
male,group E,some college,standard,completed,33,30,16
male,group B,bachelor's degree,standard,none,59,50,54
female,group A,associate's degree,free/reduced,completed,88,95,76
male,group D,some high school,standard,completed,68,72,53
female,group E,master's degree,free/reduced,completed,85,84,70
male,group C,master's degree,standard,completed,94,90,74
male,group C,master's degree,standard,none,79,85,68
male,group D,master's degree,standard,completed,86,88,77
female,group B,high school,free/reduced,completed,61,57,50
female,group A,some college,standard,completed,87,89,62
male,group E,associate's degree,standard,completed,66,66,35
female,group A,some high school,free/reduced,completed,58,58,54
female,group E,some high school,standard,completed,100,100,74
female,group C,some high school,free/reduced,none,69,71,67
female,group A,associate's degree,free/reduced,completed,59,63,34
female,group D,some college,free/reduced,none,76,85,55
female,group B,bachelor's degree,standard,none,53,55,41
male,group D,some college,free/reduced,none,51,62,46
male,group B,master's degree,standard,none,66,71,64
female,group A,master's degree,free/reduced,completed,48,46,48
male,group A,some college,standard,completed,62,54,45
male,group B,some college,free/reduced,completed,50,56,49
male,group C,associate's degree,free/reduced,none,84,77,45
male,group E,associate's degree,free/reduced,completed,95,95,72
female,group D,high school,standard,none,49,52,48
male,group D,some high school,free/reduced,none,100,95,78
male,group D,high school,standard,completed,81,77,77
female,group A,some high school,standard,none,73,67,46
female,group D,master's degree,standard,none,47,57,50
male,group E,high school,standard,none,45,48,32
male,group E,high school,standard,none,69,65,58
male,group B,bachelor's degree,standard,completed,67,59,41
male,group A,some college,free/reduced,none,65,60,51
male,group E,associate's degree,free/reduced,none,70,66,63
male,group C,high school,standard,none,59,56,53
female,group A,associate's degree,standard,completed,66,69,55
male,group A,some high school,free/reduced,completed,69,61,60
male,group E,high school,free/reduced,none,100,100,86
female,group C,some high school,standard,completed,35,25,21
female,group B,high school,free/reduced,completed,75,74,61
female,group E,master's degree,standard,completed,71,67,64
female,group C,bachelor's degree,free/reduced,completed,70,74,76
male,group A,some high school,free/reduced,none,75,82,68
male,group C,some college,free/reduced,none,99,100,68
male,group A,some college,free/reduced,completed,75,77,64
male,group E,master's degree,free/reduced,completed,47,45,55
male,group E,master's degree,standard,completed,75,81,55
male,group D,some college,standard,completed,67,61,38
female,group D,some high school,free/reduced,completed,60,62,53
male,group D,some college,standard,completed,72,77,60
female,group E,bachelor's degree,standard,completed,68,72,56
female,group B,high school,free/reduced,none,66,68,51
male,group E,bachelor's degree,standard,none,68,70,49
female,group C,some college,standard,completed,52,56,36
male,group E,high school,free/reduced,completed,80,79,66
female,group E,some college,standard,none,67,74,63
male,group A,bachelor's degree,free/reduced,none,73,83,58
female,group A,bachelor's degree,free/reduced,completed,57,47,54
male,group A,some high school,standard,none,53,51,42
male,group E,some high school,free/reduced,none,64,58,56
male,group B,bachelor's degree,standard,completed,69,65,49
male,group C,high school,standard,none,63,63,51
male,group C,some high school,free/reduced,completed,71,73,61
female,group B,some high school,standard,none,37,36,28
female,group B,associate's degree,standard,completed,100,100,68
female,group C,associate's degree,standard,none,58,54,57
male,group D,some high school,standard,none,52,49,39
female,group A,some college,standard,completed,87,90,50
male,group A,high school,standard,none,52,50,36
male,group C,master's degree,standard,none,73,66,71
female,group B,some high school,free/reduced,completed,52,63,58
female,group D,associate's degree,standard,none,65,69,56
male,group C,high school,free/reduced,none,65,65,60
female,group A,high school,free/reduced,completed,58,62,62
male,group E,associate's degree,standard,completed,83,85,68
male,group B,high school,free/reduced,completed,91,83,80
male,group E,high school,free/reduced,completed,58,58,38
male,group C,associate's degree,free/reduced,completed,71,67,44
male,group A,bachelor's degree,standard,completed,50,50,40
female,group D,some high school,free/reduced,completed,71,73,64
female,group E,some college,free/reduced,completed,82,86,79
male,group D,master's degree,free/reduced,none,71,66,53
male,group A,some college,free/reduced,none,61,56,38
female,group E,bachelor's degree,free/reduced,completed,66,63,73
female,group D,bachelor's degree,free/reduced,none,62,69,50
male,group D,high school,standard,completed,66,64,41
female,group E,some college,free/reduced,none,60,62,54
male,group A,bachelor's degree,free/reduced,none,72,71,90
female,group D,some college,standard,completed,52,50,41
male,group C,bachelor's degree,standard,none,28,28,23
female,group E,master's degree,free/reduced,none,85,88,76
male,group B,bachelor's degree,free/reduced,none,69,72,65
female,group B,some college,standard,completed,71,64,42
female,group A,high school,free/reduced,none,58,59,61
male,group C,some college,free/reduced,none,63,71,52
female,group D,associate's degree,standard,completed,54,55,44
male,group B,some college,free/reduced,none,87,92,60
female,group A,master's degree,standard,none,62,70,49
male,group C,some high school,free/reduced,none,46,46,51
female,group C,master's degree,free/reduced,none,80,79,75
male,group A,master's degree,standard,completed,87,89,74
female,group A,bachelor's degree,standard,completed,67,73,31
male,group D,master's degree,free/reduced,completed,92,91,66
female,group A,some college,free/reduced,none,74,68,61
male,group D,some high school,free/reduced,completed,68,69,50
male,group D,high school,standard,none,68,72,62
male,group E,master's degree,standard,none,77,78,69
female,group C,some college,standard,completed,86,88,83
male,group C,bachelor's degree,standard,completed,77,76,43
female,group C,bachelor's degree,standard,completed,73,71,53
male,group E,high school,standard,none,71,77,51
female,group D,high school,free/reduced,none,80,71,54
male,group D,some college,standard,none,60,60,47
female,group A,high school,standard,none,47,42,38
female,group E,high school,standard,completed,72,71,63
male,group A,bachelor's degree,standard,completed,54,55,35
female,group E,some college,free/reduced,none,47,49,35
female,group A,some high school,standard,none,94,94,76
male,group B,high school,free/reduced,completed,20,26,19
female,group C,some college,standard,completed,79,79,57
female,group C,master's degree,free/reduced,none,53,47,33
female,group D,bachelor's degree,standard,completed,57,62,45
male,group B,some high school,standard,none,76,77,46
female,group C,bachelor's degree,standard,none,100,99,66
male,group D,bachelor's degree,standard,none,80,83,63
female,group B,associate's degree,free/reduced,none,54,51,42
female,group C,some college,free/reduced,completed,69,73,68
female,group A,master's degree,standard,completed,65,58,33
male,group E,high school,standard,none,38,37,34
female,group B,master's degree,free/reduced,none,70,72,70
female,group D,some college,free/reduced,none,59,53,47
male,group B,bachelor's degree,free/reduced,none,81,83,58
female,group D,associate's degree,standard,none,65,70,50
male,group B,some college,free/reduced,completed,93,91,91
male,group D,some high school,standard,none,75,76,71
female,group C,some high school,standard,completed,73,69,50
male,group A,some college,free/reduced,none,99,100,71
female,group C,high school,standard,none,74,74,63
male,group A,master's degree,standard,none,94,95,80
male,group C,master's degree,free/reduced,none,53,51,55
female,group C,high school,standard,completed,39,35,27
male,group B,associate's degree,free/reduced,completed,73,77,45
male,group E,bachelor's degree,free/reduced,completed,88,75,62
male,group D,bachelor's degree,free/reduced,none,52,42,32
male,group D,some high school,standard,completed,63,64,23
male,group D,associate's degree,free/reduced,none,44,42,31
female,group A,high school,free/reduced,none,69,73,66
male,group D,some college,standard,completed,69,66,61
female,group D,master's degree,standard,none,79,70,56
male,group B,some college,free/reduced,none,62,61,44
female,group C,master's degree,standard,completed,66,64,46
female,group D,some college,standard,completed,79,73,55
male,group E,high school,standard,none,73,76,67
male,group D,high school,standard,completed,76,77,74
male,group A,associate's degree,standard,completed,82,77,71
female,group A,some college,free/reduced,completed,80,72,53
male,group A,some college,free/reduced,none,100,100,71
female,group D,associate's degree,free/reduced,none,76,71,73
female,group B,associate's degree,standard,completed,76,71,59
female,group E,high school,standard,none,65,64,44
male,group D,high school,free/reduced,none,70,70,56
male,group B,some high school,free/reduced,completed,50,52,27
female,group B,some college,free/reduced,completed,60,65,38
female,group D,high school,standard,completed,86,83,61
male,group D,high school,free/reduced,none,46,48,46
female,group B,some college,standard,none,90,89,68
male,group B,associate's degree,free/reduced,none,65,70,60
female,group B,some college,free/reduced,none,56,51,44
male,group D,bachelor's degree,standard,completed,65,67,39
female,group B,some college,standard,completed,78,73,76
male,group A,bachelor's degree,free/reduced,completed,71,66,42
female,group D,some college,free/reduced,completed,98,95,71
male,group A,bachelor's degree,free/reduced,completed,76,65,51
male,group C,bachelor's degree,standard,none,77,81,71
female,group D,some college,standard,completed,78,73,54
female,group C,some high school,free/reduced,none,72,69,47
male,group B,high school,free/reduced,none,66,61,59
female,group B,master's degree,free/reduced,completed,71,75,55
male,group E,high school,standard,none,73,74,65
female,group B,bachelor's degree,free/reduced,none,69,71,80
male,group C,some college,free/reduced,completed,88,88,66
male,group B,some college,standard,none,87,87,74
male,group D,some college,free/reduced,completed,52,53,29
male,group B,some college,free/reduced,completed,84,88,62
male,group E,some high school,standard,none,69,63,55
male,group B,master's degree,standard,none,65,62,65
female,group C,associate's degree,free/reduced,completed,80,74,46
female,group C,bachelor's degree,standard,none,74,76,63
female,group B,master's degree,standard,completed,56,58,34
male,group C,high school,standard,completed,82,85,63
male,group C,associate's degree,standard,completed,68,55,43
male,group E,associate's degree,standard,completed,81,78,56
male,group D,some college,standard,completed,69,57,52
female,group E,master's degree,standard,completed,82,91,59
female,group A,high school,free/reduced,none,84,84,34
male,group E,some college,standard,completed,87,82,63
female,group B,some college,standard,none,60,59,39
female,group D,some high school,standard,none,97,96,72
male,group B,bachelor's degree,standard,none,67,76,49
female,group A,associate's degree,free/reduced,completed,52,51,46
male,group D,high school,free/reduced,completed,72,72,63
female,group C,associate's degree,standard,none,67,64,39
male,group E,master's degree,free/reduced,completed,61,71,64
male,group B,bachelor's degree,free/reduced,none,70,77,65
male,group A,some college,free/reduced,completed,81,71,56
male,group C,bachelor's degree,free/reduced,completed,75,79,60
female,group E,some college,free/reduced,completed,90,92,82
male,group C,bachelor's degree,standard,none,68,64,48
male,group E,some college,standard,none,76,71,66
male,group D,associate's degree,standard,none,73,62,56
female,group C,associate's degree,free/reduced,completed,97,100,87
male,group C,associate's degree,standard,completed,54,47,46
female,group C,associate's degree,free/reduced,none,61,62,43
male,group D,bachelor's degree,standard,none,100,95,79
female,group A,some college,standard,none,66,60,58
female,group E,associate's degree,standard,completed,46,46,44
male,group C,bachelor's degree,standard,none,99,100,86
female,group D,some college,free/reduced,completed,55,51,40
male,group A,bachelor's degree,standard,completed,71,70,70
male,group E,some high school,standard,none,86,86,72
male,group D,associate's degree,free/reduced,completed,83,82,82
female,group E,master's degree,free/reduced,completed,56,57,33
female,group C,bachelor's degree,standard,completed,100,100,76
male,group A,associate's degree,standard,completed,77,68,56
male,group D,high school,free/reduced,none,69,75,65
female,group A,some college,free/reduced,completed,55,56,36
male,group C,some high school,standard,none,77,75,52
male,group A,associate's degree,free/reduced,completed,92,87,81
male,group A,high school,free/reduced,none,65,63,49
female,group B,bachelor's degree,standard,completed,43,47,41
female,group A,bachelor's degree,standard,none,59,52,36
female,group E,high school,standard,completed,65,60,56
male,group D,some high school,free/reduced,none,47,46,45
male,group B,high school,standard,none,77,68,70
male,group D,some college,standard,none,81,76,52
female,group D,bachelor's degree,standard,completed,59,57,34
male,group C,high school,free/reduced,completed,82,69,59
male,group C,master's degree,standard,none,56,54,56
male,group B,master's degree,standard,completed,50,43,28
